City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,christchurch,-43.5333,172.6333,13.86,64,20,1.54,NZ,1684896778
158,nuku'alofa,-21.1333,-175.2,25.19,69,75,4.12,TO,1684897164
159,remire-montjoly,4.9167,-52.2667,25.02,94,75,0.0,GF,1684896726
160,kargil,34.5667,76.1,5.63,84,100,2.0,IN,1684897180
161,vytegra,61.0064,36.4481,12.95,96,100,1.96,RU,1684897181
162,puerto ayora,-0.7393,-90.3518,25.86,91,100,1.34,EC,1684896802
163,rawson,-43.3002,-65.1023,10.79,38,0,5.29,AR,1684897181
164,balakhta,55.38,91.6,11.25,40,50,7.2,RU,1684897181
165,rouissat,31.9243,5.3502,22.04,35,5,1.54,DZ,1684897181
166,les avirons,-21.2418,55.3394,20.77,88,100,2.57,RE,1684897182
167,haiku-pauwela,20.9219,-156.3051,28.01,59,0,11.32,US,1684897095
168,taksimo,56.3444,114.8794,13.66,31,69,0.76,RU,1684897182
169,farah,32.5,62.5,26.81,20,0,2.89,AF,1684897182
170,ivdel',60.6911,60.4206,18.0,56,100,0.51,RU,1684897182
171,saudarkrokur,65.7461,-19.6394,3.02,95,100,9.54,IS,1684897183
172,pangody,65.85,74.4859,5.54,54,58,1.0,RU,1684897114
173,bubaque,11.2833,-15.8333,27.45,73,100,5.34,GW,1684897183
174,chibougamau,49.9168,-74.3659,4.79,87,100,5.66,CA,1684897141
175,embarcacion,-23.209,-64.096,21.79,94,24,0.18,AR,1684897184
176,san pedro pochutla,15.7333,-96.4667,28.73,73,11,2.55,MX,1684897160
177,polovinnoye,54.7914,65.9864,21.09,36,34,3.28,RU,1684897184
178,alice springs,-23.7,133.8833,20.75,28,2,2.06,AU,1684897165
179,olinda,-8.0089,-34.8553,24.85,88,75,4.12,BR,1684897030
180,isangel,-19.55,169.2667,24.09,58,99,7.28,VU,1684897185
181,prado,-17.3411,-39.2208,21.92,90,99,1.75,BR,1684896679
182,praia da vitoria,38.7333,-27.0667,17.14,77,40,4.18,PT,1684897124
183,utrik,11.2278,169.8474,27.98,77,100,7.43,MH,1684897088
184,midvagur,62.0511,-7.1939,7.46,76,75,10.29,FO,1684897141
185,tobelo,1.7284,128.0095,30.85,65,70,2.32,ID,1684897186
186,wukari,7.85,9.7833,26.66,77,97,2.36,NG,1684897186
187,bonthe,7.5264,-12.505,24.41,92,93,2.0,SL,1684897186
188,kangaba,11.9333,-8.4167,29.01,41,51,1.46,ML,1684897186
189,as sulayyil,20.4607,45.5779,27.14,40,100,7.49,SA,1684897056
190,tiksi,71.6872,128.8694,-2.7,81,15,1.82,RU,1684897077
191,espiye,40.9479,38.7115,15.84,87,21,1.02,TR,1684897187
192,bathsheba,13.2167,-59.5167,26.34,89,40,3.6,BB,1684897187
193,isla mujeres,21.2311,-86.731,27.03,73,0,3.08,MX,1684897187
194,atafu village,-8.5421,-172.5159,28.3,73,93,3.0,TK,1684897043
195,badger,64.8,-147.5333,20.93,30,0,3.09,US,1684897055
196,dudinka,69.4058,86.1778,0.9,87,73,3.05,RU,1684897101
197,palmer,42.1584,-72.3287,13.75,66,75,4.63,US,1684897188
198,smithers,54.7804,-127.1743,22.18,33,0,3.6,CA,1684897122
199,lodwar,3.1191,35.5973,27.64,54,17,4.45,KE,1684897189
200,livingstonia,-10.606,34.1063,16.57,87,94,0.51,MW,1684897189
201,adelaide,-34.9333,138.6,20.8,56,75,7.72,AU,1684897000
202,leava,-14.3,-178.1667,27.33,80,100,6.2,WF,1684897189
203,la'ie,21.6477,-157.9253,28.98,72,2,3.58,US,1684897190
204,north ward,-19.2454,146.8075,27.95,42,20,7.72,AU,1684897190
205,xinqing,48.2333,129.5,24.86,24,100,6.09,CN,1684897190
206,lethem,3.3803,-59.7968,24.78,88,51,3.18,GY,1684897190
207,fort wellington,6.4,-57.6,25.81,88,100,3.87,GY,1684897191
208,ayutla de los libres,16.9,-99.2167,26.66,70,10,0.82,MX,1684897191
209,naze,28.3667,129.4833,23.51,66,25,6.09,JP,1684897070
210,port mathurin,-19.6833,63.4167,24.96,61,1,5.68,MU,1684897059
211,leh,34.1667,77.5833,8.42,63,100,2.43,IN,1684897170
212,atuncolla,-15.6833,-70.15,4.64,51,9,1.51,PE,1684897192
213,ha tinh,18.3333,105.9,33.09,56,93,1.7,VN,1684897192
214,amos,48.5669,-78.1162,1.43,92,100,4.83,CA,1684897011
215,bol'shoy kamen',43.1225,132.3583,17.94,61,1,3.68,RU,1684897193
216,samana,19.2056,-69.3369,24.61,90,0,2.28,DO,1684897120
217,codrington,-38.2667,141.9667,16.93,56,38,8.33,AU,1684897073
218,puerto ayacucho,5.6639,-67.6236,24.86,92,92,1.06,VE,1684897193
219,magistral'nyy,56.1725,107.4458,6.47,88,100,2.0,RU,1684897194
220,lee acres,35.1487,-106.647,25.46,28,75,2.57,US,1684897194
221,antsiranana,-12.2787,49.2917,22.22,91,94,1.44,MG,1684897085
222,ceelbuur,4.685,46.6176,24.97,84,75,4.49,SO,1684897194
223,kamina,-8.7386,24.9906,17.81,69,6,1.36,CD,1684897195
224,katsuura,35.1333,140.3,19.43,43,3,1.81,JP,1684897195
225,kita,13.0349,-9.4895,31.03,33,99,1.01,ML,1684897195
226,itaituba,-4.2761,-55.9836,24.38,96,100,0.88,BR,1684897156
227,kaoma,-14.7833,24.8,14.02,60,1,2.45,ZM,1684897196
228,catacaos,-5.2667,-80.6833,26.17,63,88,6.35,PE,1684897196
229,bela,25.9333,81.9833,34.92,33,74,3.54,IN,1684897196
230,west island,-12.1568,96.8225,28.99,74,40,2.06,CC,1684897032
231,weno,7.4515,151.8468,25.97,94,100,3.09,FM,1684897090
232,ellsworth,44.5434,-68.4195,8.81,87,0,3.09,US,1684896918
233,durres,41.3231,19.4414,14.1,78,11,2.22,AL,1684897197
234,shingu,33.7333,135.9833,21.29,41,0,2.22,JP,1684897197
235,mooloolaba,-26.6833,153.1167,22.95,58,0,3.36,AU,1684897197
236,new norfolk,-42.7826,147.0587,19.4,51,100,4.02,AU,1684897145
237,crucecita,-28.95,-58.9833,21.78,84,0,4.67,AR,1684897037
238,jatai,-17.8814,-51.7144,15.43,65,0,1.76,BR,1684897198
239,cooper's town,26.8667,-77.5167,25.71,77,11,4.79,BS,1684897198
240,talikota,16.4833,76.3167,31.67,40,1,5.54,IN,1684897199
241,vorgashor,67.5833,63.95,10.64,56,16,3.71,RU,1684897065
242,alofi,-19.0595,-169.9187,26.94,65,40,2.06,NU,1684897082
243,coquimbo,-29.9533,-71.3436,13.85,100,100,1.03,CL,1684897116
244,pemangkat,1.1667,108.9667,29.98,67,97,3.77,ID,1684897199
245,nema,57.5067,50.5011,17.25,65,85,2.47,RU,1684897200
246,idri,27.5,13.2667,22.66,11,63,1.16,LY,1684897200
247,mae hong son,19.3003,97.9685,30.08,62,20,1.03,TH,1684897201
248,auki,-8.7676,160.7034,28.1,80,37,0.06,SB,1684897201
